Country;Region
ARG;LAC
AUT;EUCA
AZE;EUCA
BEN;SSAF
BGR;EUCA
BHS;LAC
BRA;LAC
CAN;NAM
CHE;EUCA
CHL;LAC
CHN;EAPAC
COL;LAC
CRI;LAC
CUW;LAC
CYP;EUCA
CZE;EUCA
DEU;EUCA
DNK;EUCA
DOM;LAC
ECU;LAC
ESP;EUCA
EST;EUCA
FIN;EUCA
FRA;EUCA
GBR;EUCA
GRC;EUCA
GTM;LAC
GUY;LAC
HKG;EAPAC
HRV;EUCA
HUN;EUCA
IDN;EAPAC
IND;SASIA
IRL;EUCA
ISL;EUCA
ISR;MENA
ITA;EUCA
JAM;LAC
JOR;MENA
KAZ;EUCA
KOR;EAPAC
KWT;MENA
LBN;MENA
LKA;SASIA
LTU;EUCA
MEX;LAC
MOZ;SSAF
MYS;EAPAC
NGA;SSAF
NIC;LAC
NLD;EUCA
NOR;EUCA
NZL;EAPAC
PAN;LAC
PER;LAC
POL;EUCA
PRT;EUCA
PRY;LAC
PSE;MENA
ROU;EUCA
SAU;MENA
SGP;EAPAC
SLV;EUCA
SUR;LAC
SVK;EUCA
SVN;EUCA
SWE;EUCA
TGO;SSAF
THA;EAPAC
TTO;LAC
TUR;EUCA
TZA;SSAF
UKR;EUCA
URY;LAC
USA;NAM
VEN;LAC
ZAF;SSAF
ALB;EUCA
ARM;EUCA
AUS;EUCA
BFA;SSAF
BHR;MENA
BIH;EUCA
BLR;EUCA
BMU;LAC
BOL;LAC
CIV;SSAF
EGY;MENA
ETH;SSAF
GEO;EUCA
GHA;SSAF
GRL;EUCA
JPN;EAPAC
KEN;SSAF
KGZ;EUCA
KHM;EAPAC
LVA;EUCA
MDA;EUCA
MKD;EUCA
MNE;EUCA
MNG;EAPAC
MRT;SSAF
MWI;SSAF
NCL;EAPAC
NPL;SSAF
OMN;MENA
PAK;SSAF
QAT;MENA
RUS;EAPAC
SEN;SSAF
SRB;EUCA
TUN;MENA
VNM;EAPAC
ZWE;SSAF
DZA;MENA
GIN;SSAF
GMB;SSAF
MDG;SSAF
MLT;EUCA
MUS;SSAF
NER;SSAF
RWA;SSAF
UGA;SSAF
ZMB;SSAF
AFG;SASIA
ARE;MENA
BDI;SSAF
BGD;SASIA
BLZ;LAC
CAF;SSAF
CMR;SSAF
COG;SSAF
CUB;LAC
DJI;MENA
GAB;SSAF
GNQ;SSAF
HND;LAC
IRN;MENA
IRQ;MENA
LAO;EAPAC
LBY;MENA
MAC;EAPAC
MAR;MENA
MLI;SSAF
MMR;SASIA
PHL;EAPAC
PNG;EAPAC
PRK;EAPAC
SLE;SSAF
SMR;EUCA
SYC;SSAF
SYR;MENA
TJK;EUCA
TKM;EUCA
FJI;EAPAC
ABW;LAC
AGO;SSAF
ASM;EAPAC
BRB;LAC
COD;SSAF
ERI;SSAF
GIB;EUCA
GNB;SSAF
HTI;LAC
KNA;SSAF
LBR;SSAF
MNP;EAPAC
SDN;SSAF
SOM;SSAF
SSD;SSAF
TCD;SSAF
UZB;EUCA
FSM;EAPAC
WSM;EAPAC
FLK;EUCA
GUM;EAPAC
KIR;EAPAC
MHL;EAPAC
PLW;EAPAC
SHN;SSAF
TLS;EAPAC
ATF;EAPAC
BES;LAC
TKL;EAPAC
SPM;EAPAC
ATA;ATA
SGS;EUCA
VAT;EUCA
HMD;EAPAC
